GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHZ001,DHZ002,DHZ003,DHZ004,DHZ005,DHZ006,DHZ007,DHZ008
"G4801170","1980","A","3","7","Texas","48",,"Deaf Smith","117",,,,,,,,,,,,"04",,,,,"DEAF SMITH",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,0,1767,96,522,0,846,56,1507
"G4801190","1980","A","3","7","Texas","48",,"Delta","119",,,,,,,,,,,,"08",,,,,"DELTA",,,,"1","1","1",,,,,"1","1",,"1",,,,"1","1","1",,,"1","1",,"1",,0,0,0,0,0,0,0,0
"G4801210","1980","A","3","7","Texas","48","1920","Denton","121",,,,,,,,,,,,"O",,,,,"DENTON",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1676,44,330,2,1127,59,904
"G4801230","1980","A","3","7","Texas","48",,"DeWitt","123",,,,,,,,,,,,"11",,,,,"DE WITT",,,,,"1",,,,,,"1",,"1",,,,,,,,,,,"1",,,,0,897,65,404,0,535,48,864
"G4801250","1980","A","3","7","Texas","48",,"Dickens","125",,,,,,,,,,,,"06",,,,,"DICKENS",,,,"1","1",,,,,,,"1","1",,,,,,,,,,,,"1",,,0,89,27,73,0,60,2,96
"G4801270","1980","A","3","7","Texas","48",,"Dimmit","127",,,,,,,,,,,,"03",,,,,"DIMMIT",,,,,"1",,,,,,,"1","1",,,,"1",,"1",,,,,,,,,0,1662,116,913,0,1006,128,1772
"G4801290","1980","A","3","7","Texas","48",,"Donley","129",,,,,,,,,,,,"06",,,,,"DONLEY",,,,"1","1",,,,,,"1",,"1",,,,,"1",,"1",,,,,,,,0,22,0,6,0,19,0,25
"G4801310","1980","A","3","7","Texas","48",,"Duval","131",,,,,,,,,,,,"03",,,,,"DUVAL",,,"1","1","1",,,,,,,,,,,,,,,,,,,,,,,0,2156,98,1178,0,1109,63,2630
"G4801330","1980","A","3","7","Texas","48",,"Eastland","133",,,,,,,,,,,,"07",,,,,"EASTLAND",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,2,229,9,90,0,154,0,128
"G4801350","1980","A","3","7","Texas","48","5800","Ector","135",,,,,,,,,,,,"05",,,,,"ECTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6622,182,945,0,3114,223,4111
"G4801370","1980","A","3","7","Texas","48",,"Edwards","137",,,,,,,,,,,,"16",,,,,"EDWARDS",,,"1","1","1",,,,,"1",,,"1",,,,,,,,,,"1",,,,,0,213,11,59,0,63,0,195
